source,TIME_PERIOD,OBS_VALUE
GISTEMP,2000,1.54
GISTEMP,2001,1.38
GISTEMP,2002,1.61
GISTEMP,2003,1.54
GISTEMP,2004,1.43
GISTEMP,2005,1.37
GISTEMP,2006,1.72
GISTEMP,2007,1.75
GISTEMP,2008,1.64
GISTEMP,2009,1.6
GISTEMP,2010,1.21
GISTEMP,2011,1.73
GISTEMP,2012,1.48
GISTEMP,2013,1.53
GISTEMP,2014,2.27
GISTEMP,2015,1.99
GISTEMP,2016,2.09
GISTEMP,2017,1.98
GISTEMP,2018,2.23
GISTEMP,2019,2.12
HADCRUT4,2000,1.54
HADCRUT4,2001,1.3
HADCRUT4,2002,1.54
HADCRUT4,2003,1.48
HADCRUT4,2004,1.32
HADCRUT4,2005,1.19
HADCRUT4,2006,1.58
HADCRUT4,2007,1.66
HADCRUT4,2008,1.57
HADCRUT4,2009,1.5
HADCRUT4,2010,1.08
HADCRUT4,2011,1.57
HADCRUT4,2012,1.39
HADCRUT4,2013,1.42
HADCRUT4,2014,2.22
HADCRUT4,2015,1.89
HADCRUT4,2016,1.87
HADCRUT4,2017,1.74
HADCRUT4,2018,2.12
HADCRUT4,2019,2.02
NOAAGLOBALTEMP,2000,1.63
NOAAGLOBALTEMP,2001,1.4
NOAAGLOBALTEMP,2002,1.6
NOAAGLOBALTEMP,2003,1.55
NOAAGLOBALTEMP,2004,1.39
NOAAGLOBALTEMP,2005,1.31
NOAAGLOBALTEMP,2006,1.68
NOAAGLOBALTEMP,2007,1.79
NOAAGLOBALTEMP,2008,1.66
NOAAGLOBALTEMP,2009,1.59
NOAAGLOBALTEMP,2010,1.2
NOAAGLOBALTEMP,2011,1.68
NOAAGLOBALTEMP,2012,1.5
NOAAGLOBALTEMP,2013,1.53
NOAAGLOBALTEMP,2014,2.3
NOAAGLOBALTEMP,2015,1.98
NOAAGLOBALTEMP,2016,2.04
NOAAGLOBALTEMP,2017,1.93
NOAAGLOBALTEMP,2018,2.3
NOAAGLOBALTEMP,2019,2.18
