id,geo,wat_res,TIME_PERIOD,OBS_VALUE
0,Albania,EVAP_TSP,1989,0
1,Albania,EVAP_TSP,1990,0
2,Albania,EVAP_TSP,1991,0
3,Albania,EVAP_TSP,1992,0
4,Albania,EVAP_TSP,1993,0
5,Albania,EVAP_TSP,1994,0
6,Albania,EVAP_TSP,1995,0
7,Albania,EVAP_TSP,1996,0
8,Albania,EVAP_TSP,1997,0
9,Albania,EVAP_TSP,1998,0
10,Albania,EVAP_TSP,1999,0
11,Albania,EVAP_TSP,2000,0
12,Albania,EVAP_TSP,2001,0
13,Albania,EVAP_TSP,2002,0
14,Albania,EVAP_TSP,2003,0
15,Albania,EVAP_TSP,2004,0
16,Albania,EVAP_TSP,2005,0
17,Albania,EVAP_TSP,2006,0
18,Albania,EVAP_TSP,2007,0
19,Albania,EVAP_TSP,2008,0
20,Albania,EVAP_TSP,2009,0
21,Albania,EVAP_TSP,2010,0
22,Albania,EVAP_TSP,2011,0
23,Albania,EVAP_TSP,2012,0
24,Albania,EVAP_TSP,2013,13164.45
25,Albania,EVAP_TSP,2014,16727.4
26,Albania,EVAP_TSP,2015,13411.54
27,Albania,EVAP_TSP,2016,16964.5
28,Albania,EVAP_TSP,2017,13856.32
29,Albania,EVAP_TSP,2018,21537.5
30,Albania,INFL_NBT,1989,0
31,Albania,INFL_NBT,1990,0
32,Albania,INFL_NBT,1991,0
33,Albania,INFL_NBT,1992,0
34,Albania,INFL_NBT,1993,0
35,Albania,INFL_NBT,1994,0
36,Albania,INFL_NBT,1995,0
37,Albania,INFL_NBT,1996,0
38,Albania,INFL_NBT,1997,0
39,Albania,INFL_NBT,1998,0
40,Albania,INFL_NBT,1999,0
41,Albania,INFL_NBT,2000,0
42,Albania,INFL_NBT,2001,0
43,Albania,INFL_NBT,2002,0
44,Albania,INFL_NBT,2003,0
45,Albania,INFL_NBT,2004,0
46,Albania,INFL_NBT,2005,0
47,Albania,INFL_NBT,2006,0
48,Albania,INFL_NBT,2007,0
49,Albania,INFL_NBT,2008,0
50,Albania,INFL_NBT,2009,0
51,Albania,INFL_NBT,2010,0
52,Albania,INFL_NBT,2011,0
53,Albania,INFL_NBT,2012,0
54,Albania,INFL_NBT,2013,14280
55,Albania,INFL_NBT,2014,16956
56,Albania,INFL_NBT,2015,14790
57,Albania,INFL_NBT,2016,18270
58,Albania,INFL_NBT,2017,14885
59,Albania,INFL_NBT,2018,16856.4
60,Albania,INTFL,1989,0
61,Albania,INTFL,1990,0
62,Albania,INTFL,1991,0
63,Albania,INTFL,1992,0
64,Albania,INTFL,1993,0
65,Albania,INTFL,1994,0
66,Albania,INTFL,1995,0
67,Albania,INTFL,1996,0
68,Albania,INTFL,1997,0
69,Albania,INTFL,1998,0
70,Albania,INTFL,1999,0
71,Albania,INTFL,2000,0
72,Albania,INTFL,2001,0
73,Albania,INTFL,2002,0
74,Albania,INTFL,2003,0
75,Albania,INTFL,2004,0
76,Albania,INTFL,2005,0
77,Albania,INTFL,2006,0
78,Albania,INTFL,2007,0
79,Albania,INTFL,2008,0
80,Albania,INTFL,2009,0
81,Albania,INTFL,2010,0
82,Albania,INTFL,2011,0
83,Albania,INTFL,2012,0
84,Albania,INTFL,2013,17450.55
85,Albania,INTFL,2014,20444.6
86,Albania,INTFL,2015,19299.53
87,Albania,INTFL,2016,21845.5
88,Albania,INTFL,2017,18367.68
89,Albania,INTFL,2018,22412.5
90,Albania,OUTFL,1989,0
91,Albania,OUTFL,1990,0
92,Albania,OUTFL,1991,0
93,Albania,OUTFL,1992,0
94,Albania,OUTFL,1993,0
95,Albania,OUTFL,1994,0
96,Albania,OUTFL,1995,0
97,Albania,OUTFL,1996,0
98,Albania,OUTFL,1997,0
99,Albania,OUTFL,1998,0
100,Albania,OUTFL,1999,0
101,Albania,OUTFL,2000,0
102,Albania,OUTFL,2001,0
103,Albania,OUTFL,2002,0
104,Albania,OUTFL,2003,0
105,Albania,OUTFL,2004,0
106,Albania,OUTFL,2005,0
107,Albania,OUTFL,2006,0
108,Albania,OUTFL,2007,0
109,Albania,OUTFL,2008,0
110,Albania,OUTFL,2009,0
111,Albania,OUTFL,2010,0
112,Albania,OUTFL,2011,0
113,Albania,OUTFL,2012,0
114,Albania,OUTFL,2013,31371.2
115,Albania,OUTFL,2014,38887.13
116,Albania,OUTFL,2015,29609
117,Albania,OUTFL,2016,40402.1
118,Albania,OUTFL,2017,38327
119,Albania,OUTFL,2018,38465.4
120,Albania,PRECIP,1989,0
121,Albania,PRECIP,1990,0
122,Albania,PRECIP,1991,0
123,Albania,PRECIP,1992,0
124,Albania,PRECIP,1993,0
125,Albania,PRECIP,1994,0
126,Albania,PRECIP,1995,0
127,Albania,PRECIP,1996,0
128,Albania,PRECIP,1997,42700
129,Albania,PRECIP,1998,42700
130,Albania,PRECIP,1999,42700
131,Albania,PRECIP,2000,0
132,Albania,PRECIP,2001,0
133,Albania,PRECIP,2002,0
134,Albania,PRECIP,2003,0
135,Albania,PRECIP,2004,0
136,Albania,PRECIP,2005,0
137,Albania,PRECIP,2006,0
138,Albania,PRECIP,2007,0
139,Albania,PRECIP,2008,29458
140,Albania,PRECIP,2009,37218
141,Albania,PRECIP,2010,51134
142,Albania,PRECIP,2011,20569
143,Albania,PRECIP,2012,43050
144,Albania,PRECIP,2013,30615
145,Albania,PRECIP,2014,37172
146,Albania,PRECIP,2015,32711.07
147,Albania,PRECIP,2016,38810
148,Albania,PRECIP,2017,32224
149,Albania,PRECIP,2018,43950
150,Albania,RFW_RES,1989,0
151,Albania,RFW_RES,1990,0
152,Albania,RFW_RES,1991,0
153,Albania,RFW_RES,1992,0
154,Albania,RFW_RES,1993,0
155,Albania,RFW_RES,1994,0
156,Albania,RFW_RES,1995,0
157,Albania,RFW_RES,1996,0
158,Albania,RFW_RES,1997,0
159,Albania,RFW_RES,1998,0
160,Albania,RFW_RES,1999,0
161,Albania,RFW_RES,2000,0
162,Albania,RFW_RES,2001,0
